,HK16,HK19,HK24,HK25,HK26,WT16,WT19,WT24,WT25,WT26
ARHGEF16,176,144,134,93,106,26,15,12,12,12
RP11-168F9.2,2,0,4,2,1,0,0,2,1,0
MEGF6,73,117,102,32,86,298,207,88,129,114
MIR551A,0,0,0,0,0,0,0,0,0,0
RP11-46F15.2,2,6,0,5,8,1,5,1,3,0
TPRG1L,654,143,503,297,207,74,83,337,363,214
WRAP73,106,65,107,61,55,65,80,100,68,103
TP73,2,2,1,0,1,4,0,7,0,1
RP5-1092A11.5,0,0,0,0,1,0,0,0,0,0
RP5-1092A11.2,0,0,0,0,0,0,0,0,0,0
TP73-AS1,205,156,204,179,130,128,230,325,220,310
CCDC27,0,0,0,0,0,0,0,5,0,4
SMIM1,31,8,17,15,14,0,3,10,1,1
LRRC47,244,126,371,228,182,98,149,309,197,252
RN7SL574P,0,2,3,1,1,0,0,0,0,1
RP1-286D6.5,2,1,1,3,3,3,0,6,0,4
CEP104,613,319,444,443,303,111,205,458,288,369
DFFB,78,47,32,47,30,41,40,37,34,47
AL691523.1,0,0,0,0,0,0,0,0,0,0
C1orf174,143,80,145,148,71,35,92,176,92,164
RP13-15E13.1,2,0,2,0,1,0,0,0,2,0
RP13-614K11.1,0,0,1,0,0,0,0,0,0,0
RP13-614K11.2,0,0,0,0,0,0,0,0,0,0
RP11-374C13.1,0,0,0,0,0,0,0,0,0,0
RP5-1166F10.1,0,0,0,0,0,0,0,0,0,0
RP1-37J18.1,0,0,0,0,0,0,0,0,0,0
RP1-37J18.2,0,0,0,1,0,0,0,0,0,0
AJAP1,119,68,116,177,168,20,52,114,3271,3
RP11-542C10.1,0,0,0,0,0,0,0,0,0,0
RP1-58B11.1,0,0,0,0,0,0,0,0,0,0
MIR4417,0,0,0,0,0,0,0,0,0,0
RP11-154H17.1,0,0,0,0,0,0,0,1,0,0
AL356693.1,0,0,0,0,0,0,0,0,0,0
MIR4689,3,0,0,0,3,0,1,0,4,1
NPHP4,196,161,98,155,103,46,139,182,112,192
AL356261.1,0,0,0,6,1,0,1,4,1,1
KCNAB2,373,108,59,149,134,91,189,49,96,74
AL035406.1,0,0,0,0,0,0,1,0,0,0
CHD5,6,23,16,22,7,1,3,0,0,3
RPL22,634,221,1557,784,398,213,302,2658,951,1409
RP1-120G22.11,3,1,7,5,5,0,1,0,3,1
RNF207,266,224,149,169,162,208,90,32,178,30
ICMT,640,110,918,477,194,124,148,807,333,329
LINC00337,3,0,3,2,5,0,1,0,0,0
HES3,0,0,0,0,0,0,0,0,0,0
GPR153,39,8,25,23,11,36,74,34,20,38
ACOT7,340,60,101,89,81,18,46,31,38,68
RP1-202O8.3,1,1,6,0,2,0,0,3,1,2
HES2,23,1,12,8,5,0,3,1,27,1
ESPN,218,69,67,96,85,0,2,1,11,2
MIR4252,0,0,0,0,0,0,0,0,0,0
RP1-202O8.2,0,0,0,0,0,0,0,0,0,0
